# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,type
17750,44.0,0.0,15.75,0.43,7.0,1.63,sitting
18000,44.67,0.47,9.33,1.25,8.0,1.0,sitting
18250,45.0,0.0,10.67,1.25,9.0,0.0,sitting
18500,44.67,0.47,8.33,1.7,8.33,0.47,sitting
18750,44.5,0.5,10.25,4.02,7.67,1.89,sitting
19000,43.5,0.5,17.25,0.83,10.33,1.25,sitting
19250,44.0,0.0,18.0,0.0,12.0,0.0,sitting
19500,44.5,0.5,17.75,0.43,10.0,0.82,sitting
19750,44.25,0.43,18.0,0.0,9.25,0.43,sitting
20000,44.5,0.5,18.0,0.0,8.75,0.43,sitting
20250,44.0,0.71,18.0,0.0,9.0,0.0,sitting
20500,44.5,0.5,18.0,0.0,7.5,1.12,sitting
20750,44.5,0.5,17.5,0.5,9.0,0.0,sitting
21000,44.33,0.47,17.25,0.43,9.0,0.0,sitting
21250,44.0,0.82,17.0,0.0,8.0,1.22,sitting
21500,44.25,0.43,18.25,0.43,9.0,2.55,sitting
21750,43.5,0.5,15.25,1.92,9.25,3.27,sitting
22000,42.5,0.87,10.25,2.05,10.25,4.26,sitting
22250,42.0,0.0,6.5,2.87,13.67,1.25,sitting
22500,42.0,0.0,10.75,4.92,8.0,5.7,sitting
22750,42.5,0.5,10.25,5.45,6.67,2.62,sitting
23000,43.25,0.43,13.75,2.28,10.33,1.25,sitting
23250,43.75,0.43,12.0,2.12,13.25,3.03,sitting
23500,44.75,0.43,10.33,5.25,16.0,1.41,sitting
23750,45.0,0.0,5.67,3.68,15.0,0.0,sitting
24000,44.75,0.43,10.5,1.5,12.33,0.47,sitting
24250,44.5,0.5,12.0,0.0,14.5,1.12,sitting
24500,44.25,0.43,10.5,1.12,16.25,0.83,sitting
24750,43.67,0.47,8.67,0.47,15.0,0.0,sitting
25000,43.5,0.5,11.75,2.17,15.25,0.43,sitting
25250,44.25,0.83,13.5,0.87,18.0,1.22,sitting
25500,44.5,0.5,14.25,0.43,18.25,0.43,sitting
25750,44.33,0.47,12.67,0.47,18.25,0.43,sitting
26000,44.5,0.5,14.75,0.43,18.25,0.43,sitting
26250,44.5,0.5,15.0,0.0,16.5,1.12,sitting
26500,44.5,0.5,15.75,0.43,16.25,0.83,sitting
26750,44.5,0.5,16.5,0.5,15.5,0.87,sitting
27000,44.5,0.5,15.75,0.83,15.5,0.87,sitting
27250,44.5,0.5,15.75,0.83,16.5,1.12,sitting
27500,44.5,0.5,15.0,0.0,16.0,1.0,sitting
27750,44.5,0.5,15.4,0.49,15.8,0.98,sitting
28000,44.67,0.47,17.5,0.87,16.67,0.94,sitting
28250,43.75,0.43,16.25,0.83,16.5,1.12,sitting
28500,43.75,0.43,15.33,0.47,16.25,0.83,sitting
28750,44.5,0.5,17.5,0.5,15.25,0.83,sitting
29000,44.25,0.83,18.0,0.0,13.0,1.87,sitting
29250,44.0,0.0,18.0,0.0,9.0,2.0,sitting
29500,44.25,0.83,17.75,0.43,11.75,1.09,sitting
29750,44.5,0.5,17.75,0.43,14.0,1.0,sitting
30000,44.5,0.5,17.75,0.43,14.5,0.5,sitting
30250,44.5,0.5,18.0,0.0,13.0,0.82,sitting
30500,44.5,0.5,18.0,0.0,12.5,0.87,sitting
30750,44.25,0.43,17.0,1.0,11.25,0.83,sitting
31000,44.25,0.43,15.5,1.12,15.75,2.28,sitting
31250,44.5,0.5,10.75,1.48,14.25,1.48,sitting
31500,44.5,0.5,9.0,0.82,11.67,0.47,sitting
31750,44.5,0.5,9.67,0.47,11.33,0.94,sitting
32000,44.25,0.43,10.67,0.47,11.75,0.83,sitting
32250,44.5,0.5,11.0,0.71,12.0,0.0,sitting
32500,44.67,0.47,10.75,1.3,12.33,0.47,sitting
32750,44.5,0.5,12.0,0.0,10.75,1.09,sitting
33000,43.75,0.43,12.5,0.5,13.75,1.3,sitting
33250,43.33,0.47,12.33,0.47,15.5,0.5,sitting
33500,44.0,0.0,12.67,0.47,15.0,0.0,sitting
33750,44.0,0.0,12.75,0.43,12.75,0.43,sitting
34000,43.75,0.83,14.0,0.0,12.0,0.0,sitting
34250,43.75,0.43,14.0,0.0,13.25,1.3,sitting
34500,43.75,0.43,14.33,0.47,13.0,0.82,sitting
34750,44.25,0.83,13.5,0.5,13.25,1.3,sitting
35000,44.0,0.0,13.75,0.43,13.0,1.0,sitting
35250,44.33,0.47,13.5,0.5,13.33,1.25,sitting
35500,43.67,0.47,14.33,0.47,13.25,0.83,sitting
35750,44.0,0.71,14.25,0.43,14.25,0.83,sitting
36000,43.75,0.43,14.75,0.43,14.75,0.43,sitting
36250,43.75,0.43,15.0,0.0,15.0,0.0,sitting
36500,44.0,0.71,15.0,0.0,13.25,0.83,sitting
36750,43.33,0.47,14.33,0.47,13.25,0.83,sitting
37000,44.25,0.43,14.5,0.5,12.0,0.0,sitting
37250,43.75,0.43,13.67,0.47,12.0,0.0,sitting
37500,43.75,0.83,13.2,0.4,11.0,0.63,sitting
37750,44.0,0.0,12.67,0.47,11.67,0.47,sitting
38000,43.75,0.43,13.5,0.5,9.67,0.47,sitting
38250,44.0,0.0,13.75,0.43,10.33,0.47,sitting
38500,43.33,0.47,12.33,2.49,13.25,4.6,sitting
38750,43.25,0.83,13.75,3.63,12.0,6.36,sitting
39000,42.5,0.5,17.5,1.12,17.75,1.09,sitting
39250,42.25,0.43,18.0,0.71,16.75,1.3,sitting
39500,42.5,0.5,15.75,0.43,18.0,0.0,sitting
39750,42.5,0.5,16.75,0.83,17.75,0.43,sitting
40000,42.0,0.0,18.5,0.87,19.25,1.48,sitting
40250,42.0,0.0,20.0,0.0,18.75,0.83,sitting
40500,42.25,0.43,20.67,0.47,16.0,0.82,sitting
40750,42.5,0.5,19.5,0.5,20.75,0.43,sitting
41000,42.5,0.5,18.75,0.43,21.0,0.0,sitting
41250,42.33,0.47,20.0,0.71,21.0,0.0,sitting
41500,42.5,0.5,21.0,0.0,19.25,1.3,sitting
41750,42.5,0.5,19.75,1.3,19.0,1.58,sitting
42000,42.0,0.0,17.33,0.47,13.75,1.79,sitting
42250,42.25,0.43,18.0,0.0,17.5,1.5,sitting
42500,42.5,0.5,18.5,0.87,19.75,1.3,sitting
42750,42.5,0.5,18.25,0.43,20.25,0.43,sitting
43000,42.25,0.43,18.25,0.43,20.75,0.43,sitting
43250,42.5,0.5,19.75,1.09,20.5,0.5,sitting
43500,42.5,0.5,19.25,0.43,21.25,0.43,sitting
43750,42.5,0.5,18.67,0.47,21.33,0.47,sitting
44000,42.25,0.43,19.8,0.75,20.8,0.75,sitting
44250,42.5,0.5,20.67,0.47,20.33,0.94,sitting
44500,42.33,0.47,19.75,1.3,22.0,0.82,sitting
44750,42.33,0.47,15.0,2.45,20.75,0.43,sitting
45000,42.5,0.5,12.0,0.71,20.0,1.22,sitting
45250,42.5,0.5,13.75,0.43,16.75,1.09,sitting
45500,42.5,0.5,15.0,0.0,19.25,0.43,sitting
45750,42.75,0.43,15.0,0.0,19.5,1.12,sitting
46000,42.5,0.5,15.75,0.83,20.75,0.43,sitting
46250,42.5,0.5,17.25,0.43,20.75,0.43,sitting
46500,42.5,0.5,16.0,0.82,19.0,0.82,sitting
46750,42.67,0.47,15.0,0.0,19.5,1.5,sitting
47000,42.4,0.49,15.0,0.0,20.0,0.89,sitting
47250,42.67,0.47,17.75,0.43,20.67,0.47,sitting
47500,42.75,0.43,19.75,1.09,21.25,0.43,sitting
47750,42.5,0.5,21.0,0.0,20.75,0.43,sitting
48000,42.33,0.47,19.33,0.47,21.0,0.0,sitting
48250,42.5,0.5,18.25,0.43,21.0,0.0,sitting
48500,42.5,0.5,19.5,0.87,21.0,0.0,sitting
48750,42.5,0.5,20.25,0.43,20.75,0.43,sitting
49000,42.5,0.5,20.75,0.43,20.5,0.5,sitting
49250,42.75,0.43,20.75,0.43,21.0,0.0,sitting
49500,42.75,0.43,18.5,1.12,20.0,0.71,sitting
49750,42.5,0.5,17.67,0.47,19.33,0.94,sitting
50000,42.67,0.47,18.0,0.0,18.67,0.94,sitting
50250,42.4,0.49,18.0,0.0,18.4,0.49,sitting
50500,42.67,0.47,18.0,0.0,19.0,0.0,sitting
50750,42.5,0.5,18.0,0.0,19.5,0.5,sitting
51000,42.67,0.47,18.0,0.0,19.33,1.25,sitting
51250,42.33,0.47,18.33,0.47,21.0,0.0,sitting
51500,42.33,0.47,19.0,0.82,21.0,0.0,sitting
51750,42.5,0.5,18.67,0.47,20.33,0.47,sitting
52000,42.5,0.5,19.8,0.4,21.6,0.49,sitting
52250,42.75,0.43,20.25,0.43,21.0,0.0,sitting
52500,42.5,0.5,21.0,0.0,21.0,0.0,sitting
52750,42.5,0.5,20.75,0.43,21.0,0.0,sitting
53000,42.5,0.5,21.0,0.0,21.0,0.0,sitting
53250,42.5,0.5,21.25,0.43,18.25,1.79,sitting
53500,42.67,0.47,21.5,0.87,17.0,0.82,sitting
53750,42.5,0.5,20.25,0.43,20.0,1.22,sitting
54000,42.75,0.43,19.75,0.43,20.5,0.5,sitting
54250,42.33,0.47,20.33,0.47,20.75,0.43,sitting
54500,42.5,0.5,19.0,0.71,20.75,0.43,sitting
54750,42.5,0.5,20.75,0.43,21.0,0.0,sitting
55000,42.5,0.5,21.25,0.43,20.0,0.71,sitting
55250,42.5,0.5,22.0,1.0,19.0,1.0,sitting
55500,42.5,0.5,21.0,0.0,19.0,0.82,sitting
55750,43.0,0.71,21.25,0.43,19.0,0.71,sitting
56000,43.67,0.47,20.75,0.43,18.33,0.47,sitting
56250,43.25,0.83,21.0,0.0,17.75,0.83,sitting
56500,42.67,0.94,20.0,0.0,19.0,0.71,sitting
56750,43.5,0.5,20.75,0.43,18.75,0.83,sitting
57000,43.25,0.43,21.0,0.0,19.25,0.83,sitting
57250,43.5,0.5,21.0,0.0,16.0,1.41,sitting
57500,43.25,0.83,21.0,0.0,18.25,1.48,sitting
57750,43.5,0.5,21.0,0.0,18.75,0.43,sitting
58000,43.0,0.71,21.0,0.0,18.5,0.5,sitting
58250,43.0,1.0,21.0,0.0,18.5,0.5,sitting
58500,42.5,0.5,20.0,1.41,18.33,0.47,sitting
58750,43.33,0.47,18.0,0.0,17.33,0.47,sitting
59000,43.0,0.89,18.0,0.0,16.6,0.8,sitting
59250,43.0,0.82,20.0,0.71,18.0,0.0,sitting
59500,43.0,1.0,20.0,0.0,17.25,1.3,sitting
59750,43.0,0.0,20.67,0.47,14.75,1.48,sitting
60000,42.75,0.83,21.75,0.43,16.0,1.22,sitting
60250,42.5,0.5,21.0,0.0,15.75,0.83,sitting
60500,42.25,0.43,21.0,0.0,15.25,0.43,sitting
60750,42.5,0.5,20.75,0.43,16.0,0.71,sitting
61000,42.0,0.0,19.0,0.71,14.25,0.83,sitting
61250,42.25,0.43,18.0,0.0,12.25,0.43,sitting
61500,42.0,0.0,18.0,0.0,11.5,0.87,sitting
61750,42.25,0.43,19.75,0.43,11.75,0.43,sitting
62000,42.25,0.43,19.0,0.0,11.0,0.82,sitting
62250,42.25,0.43,19.5,0.5,10.0,0.82,sitting
62500,42.5,0.5,20.0,0.0,5.0,3.08,sitting
62750,42.5,0.5,20.75,0.43,7.75,1.79,sitting
63000,42.67,0.47,19.5,0.87,11.33,0.47,sitting
63250,42.33,0.47,18.67,0.47,15.0,2.45,sitting
63500,42.5,0.5,18.5,0.5,16.0,1.22,sitting
63750,42.5,0.5,18.0,0.0,18.25,0.43,sitting
64000,42.5,0.5,18.0,0.0,17.0,0.71,sitting
64250,42.5,0.5,18.0,0.0,16.67,1.25,sitting
64500,42.25,0.43,18.0,0.0,16.75,0.83,sitting
64750,42.67,0.47,18.0,0.0,17.67,0.47,sitting
65000,42.5,0.5,18.25,0.43,17.0,0.71,sitting
65250,42.33,0.47,18.0,0.0,17.25,0.83,sitting
65500,42.0,0.0,18.0,0.0,17.25,0.43,sitting
65750,42.25,0.43,17.75,0.43,16.5,1.12,sitting
66000,42.0,0.0,18.0,0.0,17.5,0.5,sitting
66250,42.0,0.0,17.5,0.5,17.5,0.5,sitting
66500,42.0,0.0,17.5,0.87,16.25,1.09,sitting
66750,42.25,0.43,15.25,0.43,18.0,0.0,sitting
67000,42.5,0.5,16.75,0.83,17.75,0.43,sitting
67250,42.0,0.0,18.0,0.0,16.33,0.94,sitting
67500,42.0,0.0,18.0,0.0,17.25,0.83,sitting
67750,42.0,0.0,18.0,0.0,18.0,0.0,sitting
68000,42.25,0.43,18.0,0.0,17.25,0.43,sitting
68250,42.0,0.0,18.0,0.0,17.5,0.5,sitting
68500,42.0,0.0,18.0,0.0,17.75,0.43,sitting
68750,42.0,0.0,18.25,0.43,17.75,1.09,sitting
69000,42.25,0.43,18.25,0.43,17.75,0.43,sitting
69250,42.0,0.0,18.0,0.0,17.75,0.43,sitting
69500,42.0,0.0,18.0,0.0,16.75,0.83,sitting
69750,42.0,0.0,18.0,0.0,17.5,0.5,sitting
70000,42.0,0.0,18.0,0.0,16.75,0.83,sitting
70250,42.0,0.0,18.0,0.0,17.0,0.82,sitting
70500,42.0,0.0,18.0,0.0,17.5,0.5,sitting
70750,42.0,0.0,18.0,0.0,17.5,0.5,sitting
71000,42.0,0.0,18.0,0.0,17.25,0.43,sitting
71250,42.0,0.0,18.0,0.0,17.0,0.82,sitting
71500,42.25,0.43,18.0,0.0,17.25,0.83,sitting
71750,42.0,0.0,18.0,0.0,17.25,0.83,sitting
72000,42.0,0.0,18.0,0.0,16.5,0.5,sitting
72250,42.0,0.0,18.0,0.0,16.5,1.12,sitting
72500,42.0,0.0,18.0,0.0,17.5,0.5,sitting
72750,42.0,0.0,18.0,0.0,17.75,0.43,sitting
73000,42.0,0.0,18.0,0.0,17.0,0.71,sitting
73250,42.0,0.0,18.0,0.0,17.25,0.43,sitting
73500,42.0,0.0,18.0,0.0,17.0,0.71,sitting
73750,42.0,0.0,18.0,0.0,17.25,0.83,sitting
74000,42.0,0.0,18.0,0.0,17.25,0.83,sitting
74250,42.0,0.0,18.0,0.0,16.33,0.47,sitting
74500,42.25,0.43,18.25,0.43,16.0,0.71,sitting
74750,42.0,0.0,18.5,0.5,15.0,0.0,sitting
75000,42.0,0.0,18.25,0.43,16.5,1.5,sitting
75250,42.0,0.0,18.0,0.0,16.0,1.0,sitting
75500,42.0,0.0,18.0,0.0,16.5,1.12,sitting
75750,42.0,0.0,18.0,0.0,17.0,1.0,sitting
76000,42.0,0.0,18.0,0.0,16.0,0.71,sitting
76250,42.0,0.0,18.0,0.0,16.0,0.71,sitting
76500,42.0,0.0,18.0,0.0,15.75,0.83,sitting
76750,42.0,0.0,18.0,0.0,16.0,1.0,sitting
77000,42.0,0.0,18.0,0.0,16.0,0.71,sitting
77250,42.0,0.0,18.25,0.43,16.25,1.09,sitting
77500,42.25,0.43,18.25,0.43,16.25,0.83,sitting
77750,42.0,0.0,18.0,0.0,16.0,0.71,sitting
78000,42.0,0.0,18.0,0.0,17.0,0.82,sitting
78250,42.0,0.0,18.0,0.0,17.25,0.83,sitting
78500,42.0,0.0,18.0,0.0,17.5,0.87,sitting
78750,42.25,0.43,18.0,0.0,17.5,0.87,sitting
79000,42.0,0.0,18.0,0.0,16.75,1.09,sitting
79250,42.25,0.43,18.0,0.0,17.5,0.5,sitting
79500,42.0,0.0,18.0,0.0,16.33,0.47,sitting
79750,42.0,0.0,18.0,0.0,17.5,0.87,sitting
80000,42.0,0.0,18.0,0.0,17.5,0.87,sitting
80250,42.33,0.47,18.33,0.47,16.5,0.87,sitting
80500,42.0,0.0,18.0,0.0,16.25,0.83,sitting
80750,42.25,0.43,18.75,0.43,16.5,0.87,sitting
81000,42.0,0.0,18.67,0.47,17.0,0.82,sitting
81250,42.0,0.0,18.67,0.47,17.0,0.82,sitting
81500,42.07,0.26,18.0,0.0,16.43,0.82,sitting
81750,42.07,0.26,18.0,0.0,16.43,0.82,sitting
82000,42.0,0.0,18.5,0.5,15.33,0.47,sitting
82250,42.0,0.0,18.33,0.47,16.75,1.09,sitting
82500,42.0,0.0,20.0,0.82,18.0,0.0,sitting
82750,42.0,0.0,21.0,0.0,20.25,1.3,sitting
83000,42.0,0.0,21.25,0.43,19.75,1.3,sitting
83250,42.0,0.0,21.0,0.0,19.25,0.83,sitting
83500,42.0,0.0,21.0,0.0,18.25,0.43,sitting
83750,42.25,0.43,19.75,0.83,19.25,1.3,sitting
84000,42.25,0.43,20.75,0.43,21.0,0.0,sitting
84250,42.0,0.0,21.0,0.0,21.0,0.0,sitting
84500,42.0,0.0,21.0,0.0,20.67,0.47,sitting
84750,42.0,0.0,21.0,0.0,21.0,0.0,sitting
85000,42.0,0.0,21.0,0.0,21.0,0.0,sitting
85250,42.0,0.0,21.0,0.0,21.0,0.0,sitting
85500,42.0,0.0,21.0,0.0,19.67,0.94,sitting
85750,42.0,0.0,21.0,0.0,18.5,0.5,sitting
86000,42.0,0.0,21.0,0.0,19.5,0.5,sitting
86250,42.0,0.0,21.0,0.0,20.0,0.71,sitting
86500,42.0,0.0,19.5,0.5,19.0,0.71,sitting
86750,42.0,0.0,20.75,0.43,20.0,1.0,sitting
87000,42.0,0.0,21.0,0.0,20.75,0.43,sitting
87250,42.0,0.0,22.0,0.71,19.33,1.25,sitting
87500,42.25,0.43,21.33,0.47,20.67,0.47,sitting
87750,42.0,0.0,21.0,0.0,20.75,0.43,sitting
88000,42.0,0.0,21.0,0.0,21.0,0.0,sitting
88250,42.0,0.0,21.67,0.47,19.67,1.89,sitting
88500,42.0,0.0,22.25,0.43,19.5,0.87,sitting
88750,42.0,0.0,21.0,0.0,19.75,0.83,sitting
89000,42.0,0.0,20.75,0.43,20.33,0.47,sitting
89250,42.0,0.0,20.0,0.0,18.33,0.47,sitting
89500,42.0,0.0,21.0,0.0,20.0,1.22,sitting
89750,42.0,0.0,21.5,0.5,20.25,0.83,sitting
90000,42.0,0.0,21.75,0.43,19.75,1.09,sitting
90250,42.0,0.0,22.25,0.43,18.25,0.43,sitting
90500,42.0,0.0,21.5,0.5,18.5,0.5,sitting
90750,42.0,0.0,21.25,0.43,19.0,0.71,sitting
91000,42.0,0.0,21.0,0.0,18.67,0.47,sitting
91250,42.0,0.0,21.0,0.0,19.25,0.43,sitting
91500,42.0,0.0,20.5,0.5,17.5,0.5,sitting
91750,42.0,0.0,20.33,0.47,17.67,0.47,sitting
92000,42.0,0.0,20.33,0.47,17.67,0.47,sitting
92250,42.1,0.3,21.27,0.45,17.36,2.35,sitting
92500,42.25,0.43,18.5,0.87,9.75,3.19,sitting
92750,42.25,0.43,18.25,0.43,9.75,0.83,sitting
93000,42.0,0.0,20.25,0.83,12.0,1.87,sitting
93250,42.0,0.0,18.0,0.0,12.67,0.94,sitting
93500,42.0,0.0,19.75,0.83,11.33,0.94,sitting
93750,42.0,0.0,14.33,3.3,15.0,2.12,sitting
94000,42.0,0.0,15.0,2.94,16.0,0.82,sitting
94250,42.0,0.0,16.25,1.3,11.75,1.79,sitting
94500,43.5,0.5,16.0,0.71,4.0,0.82,sitting
94750,44.25,0.83,15.0,0.0,2.0,0.0,sitting
95000,43.67,0.47,13.75,1.3,10.33,1.89,sitting
95250,42.75,0.83,9.5,1.5,11.75,0.43,sitting
95500,42.5,0.5,16.25,1.3,12.5,0.5,sitting
95750,42.33,0.47,10.67,3.4,16.5,2.69,sitting
96000,42.5,0.5,0.0,0.0,17.25,0.83,sitting
96250,43.33,0.47,4.67,3.3,13.75,1.3,sitting
96500,44.25,0.43,9.75,1.48,4.75,3.11,sitting
96750,45.0,0.0,11.75,0.43,3.5,0.87,sitting
97000,44.75,0.43,4.33,3.4,1.0,0.0,sitting
97250,44.5,0.5,8.67,0.47,1.5,0.5,sitting
97500,44.5,0.5,8.67,0.47,2.0,0.0,sitting
97750,44.25,0.83,9.33,0.47,8.5,0.5,sitting
98000,43.5,0.5,11.0,1.22,10.75,1.09,sitting
98250,44.5,0.5,3.5,0.5,7.5,1.5,sitting
98500,44.67,0.47,1.67,0.94,5.5,0.5,sitting
98750,44.5,0.5,5.67,0.47,8.67,2.05,sitting
99000,44.33,0.47,5.67,0.94,11.0,1.22,sitting
99250,44.25,0.83,3.0,0.0,11.25,0.43,sitting
99500,44.5,0.5,5.0,1.22,10.25,1.09,sitting
99750,44.5,0.5,5.75,0.43,10.0,0.71,sitting
100000,44.5,0.5,4.75,0.43,11.25,0.83,sitting
100250,44.5,0.5,5.25,0.43,11.0,0.71,sitting
100500,44.5,0.5,5.0,0.0,11.75,0.43,sitting
100750,44.5,0.5,6.0,0.0,11.67,0.47,sitting
101000,44.5,0.5,5.75,0.43,12.0,0.0,sitting
101250,44.5,0.5,3.33,1.25,12.0,0.0,sitting
101500,43.5,1.12,11.0,3.24,14.75,1.64,sitting
101750,42.5,0.5,12.0,4.24,12.75,1.3,sitting
102000,42.0,0.0,19.75,1.09,13.25,1.3,sitting
102250,42.25,0.43,20.0,1.22,16.0,1.41,sitting
102500,42.0,0.0,16.0,0.82,18.0,0.0,sitting
102750,42.0,0.0,18.0,0.71,20.0,0.71,sitting
103000,42.0,0.0,19.33,0.47,18.33,0.47,sitting
103250,42.25,0.43,18.0,0.0,16.75,1.09,sitting
103500,42.5,0.5,18.25,0.43,16.25,0.43,sitting
103750,42.25,0.43,18.0,0.0,18.0,1.22,sitting
104000,42.0,0.0,19.75,1.3,20.0,0.82,sitting
104250,42.25,0.43,21.0,0.0,18.5,0.5,sitting
104500,42.0,0.0,21.0,0.0,15.75,0.43,sitting
104750,42.0,0.0,19.5,1.12,17.5,2.18,sitting
105000,42.0,0.0,20.67,0.47,20.5,0.87,sitting
105250,42.25,0.43,18.75,0.83,18.25,0.83,sitting
105500,42.25,0.43,19.0,0.71,17.0,0.71,sitting
105750,42.25,0.43,20.75,0.43,17.75,1.09,sitting
106000,42.25,0.43,21.0,0.0,18.5,0.5,sitting
106250,42.5,0.5,23.0,0.71,17.0,1.0,sitting
106500,42.25,0.43,19.0,1.41,16.67,0.47,sitting
106750,42.25,0.43,19.6,0.49,18.2,0.4,sitting
107000,42.0,0.0,19.0,1.0,20.0,1.0,sitting
107250,42.0,0.0,18.0,0.0,21.0,0.0,sitting
107500,42.21,0.41,19.46,0.84,19.31,1.38,sitting
107750,42.67,0.47,20.25,0.43,20.33,0.47,sitting
108000,42.33,0.47,21.0,0.0,20.67,0.47,sitting
108250,42.0,0.0,20.67,0.47,21.5,0.87,sitting
108500,42.0,0.0,19.0,0.71,21.0,0.0,sitting
108750,42.0,0.0,19.0,0.0,20.25,0.83,sitting
109000,42.0,0.0,20.25,0.83,19.25,0.43,sitting
109250,42.0,0.0,20.75,0.43,18.25,0.43,sitting
109500,42.5,0.5,20.0,0.0,19.5,0.87,sitting
109750,42.25,0.43,21.25,0.43,16.75,0.83,sitting
110000,42.0,0.0,20.5,0.5,17.75,1.09,sitting
110250,42.0,0.0,20.75,0.43,19.0,0.71,sitting
110500,42.25,0.43,21.0,0.0,18.0,0.0,sitting
110750,42.5,0.5,21.0,0.0,15.0,0.82,sitting
111000,42.0,0.0,21.0,0.0,16.67,0.47,sitting
111250,42.33,0.47,21.0,0.0,15.0,0.0,sitting
111500,42.33,0.47,21.0,0.0,12.5,0.5,sitting
111750,42.25,0.43,20.0,0.0,15.5,2.96,sitting
